経過年数,建設時健全度（1と仮定）,調査時健全度,定数項（x1＝1）,管径,管渠延長,スパンID,調査年,建設年,材質番号（1 ヒューム管）
31,1,4,1,0.151515152,0.206666667,12948004,2010,1979,1
31,1,1,1,0.151515152,0.194285714,12948035,2010,1979,1
31,1,3,1,0.181818182,0.19,12948047,2010,1979,1
31,1,3,1,0.151515152,0.195238095,12948059,2010,1979,1
31,1,1,1,0.151515152,0.156666667,12948069,2010,1979,1
31,1,2,1,0.151515152,0.194761905,12948078,2010,1979,1
36,1,2,1,0.151515152,0.228571429,12949011,2010,1974,1
36,1,2,1,0.151515152,0.226190476,12949020,2010,1974,1
36,1,1,1,0.151515152,0.219047619,12949025,2010,1974,1
36,1,3,1,0.151515152,0.219047619,12949036,2010,1974,1
36,1,2,1,0.151515152,0.235952381,12949046,2010,1974,1
36,1,2,1,0.151515152,0.156666667,12949057,2010,1974,1
36,1,2,1,0.151515152,0.230952381,12949064,2010,1974,1
32,1,1,1,0.151515152,0.082857143,12951007,2010,1978,1
32,1,1,1,0.151515152,0.136666667,12951022,2010,1978,1
32,1,1,1,0.151515152,0.133333333,12951034,2010,1978,1
32,1,1,1,0.151515152,0.127142857,12951044,2010,1978,1
32,1,1,1,0.151515152,0.136666667,12951058,2010,1978,1
32,1,1,1,0.151515152,0.108095238,12951069,2010,1978,1
32,1,1,1,0.151515152,0.098571429,12951081,2010,1978,1
32,1,1,1,0.151515152,0.13047619,12951092,2010,1978,1
32,1,1,1,0.151515152,0.088095238,12952015,2010,1978,1
32,1,2,1,0.151515152,0.127142857,12952025,2010,1978,1
32,1,1,1,0.151515152,0.098095238,12952034,2010,1978,1
31,1,1,1,0.151515152,0.119333333,12954010,2010,1979,1
31,1,2,1,0.151515152,0.18147619,12955015,2010,1979,1
31,1,1,1,0.151515152,0.118571429,12957023,2010,1979,1
31,1,1,1,0.151515152,0.177142857,12957032,2010,1979,1
31,1,2,1,0.151515152,0.107619048,12958019,2010,1979,1
31,1,2,1,0.151515152,0.191904762,12958029,2010,1979,1
31,1,1,1,0.151515152,0.135238095,12958040,2010,1979,1
31,1,4,1,0.151515152,0.151904762,12958052,2010,1979,1
31,1,3,1,0.151515152,0.071904762,12958064,2010,1979,1
31,1,1,1,0.151515152,0.169047619,12958076,2010,1979,1
31,1,4,1,0.151515152,0.155714286,12958081,2010,1979,1
31,1,2,1,0.151515152,0.089047619,12958091,2010,1979,1
31,1,1,1,0.151515152,0.180952381,12959004,2010,1979,1
32,1,1,1,0.151515152,0.21,12959034,2011,1979,1
36,1,3,1,0.151515152,0.167857143,12959053,2010,1974,1
36,1,2,1,0.151515152,0.110714286,12959065,2010,1974,1
36,1,4,1,0.151515152,0.147619048,12959075,2010,1974,1
31,1,1,1,0.151515152,0.137142857,12959083,2010,1979,1
32,1,4,1,0.151515152,0.145714286,12962001,2010,1978,1
31,1,4,1,0.151515152,0.141428571,12968001,2010,1979,1
31,1,1,1,0.151515152,0.141428571,12968010,2010,1979,1
29,1,3,1,0.151515152,0.118619048,12959027,2010,1981,1
31,1,1,1,0.151515152,0.028571429,12969008,2010,1979,1
25,1,1,1,0.212121212,0.173095238,12969031,2011,1986,1
31,1,1,1,0.151515152,0.104761905,12969038,2010,1979,1
31,1,2,1,0.151515152,0.163809524,12969049,2010,1979,1
31,1,4,1,0.151515152,0.151428571,12969061,2010,1979,1
29,1,4,1,0.151515152,0.11847619,12969078,2010,1981,1
29,1,4,1,0.151515152,0.109380952,12969084,2010,1981,1
29,1,1,1,0.151515152,0.101190476,12969091,2010,1981,1
30,1,3,1,0.151515152,0.099857143,12969103,2011,1981,1
29,1,2,1,0.151515152,0.11952381,12969117,2010,1981,1
29,1,3,1,0.151515152,0.132333333,12969125,2010,1981,1
25,1,2,1,0.121212121,0.185285714,12975016,2013,1988,1
26,1,2,1,0.121212121,0.158190476,12976001,2013,1987,1
31,1,1,1,0.151515152,0.142857143,12978016,2010,1979,1
31,1,3,1,0.151515152,0.141904762,12978028,2010,1979,1
